Data,Curs_EUR,Inflatie,ROBOR
2020-01-31,4.77,3.60,3.18
2020-02-29,4.78,3.05,3.05
2020-03-31,4.82,3.05,2.56
2020-04-30,4.83,2.68,2.48
2020-05-31,4.83,2.26,2.43
2020-06-30,4.83,2.58,2.20
2020-07-31,4.83,2.80,2.15
2020-08-31,4.83,2.84,1.98
2020-09-30,4.85,2.45,2.05
2020-10-31,4.87,2.24,2.14
2020-11-30,4.86,2.13,2.04
2020-12-31,4.86,2.06,2.03
2021-01-31,4.87,2.99,1.54
2021-02-28,4.87,3.16,1.54
2021-03-31,4.88,3.05,1.67
2021-04-30,4.92,3.24,1.59
2021-05-31,4.92,3.75,1.53
2021-06-30,4.92,3.94,1.50
2021-07-31,4.92,4.95,1.50
2021-08-31,4.93,5.25,1.52
2021-09-30,4.94,6.29,1.61
2021-10-31,4.94,7.94,2.36
2021-11-30,4.94,7.80,2.60
2021-12-31,4.94,8.19,3.02
2022-01-31,4.94,8.35,3.05
2022-02-28,4.94,8.53,3.05
2022-03-31,4.94,10.15,4.25
2022-04-30,4.94,13.76,4.70
2022-05-31,4.94,14.49,5.56
2022-06-30,4.94,15.05,6.10
2022-07-31,4.93,14.96,7.14
2022-08-31,4.88,15.32,8.02
2022-09-30,4.94,15.88,7.93
2022-10-31,4.92,15.32,8.13
2022-11-30,4.92,16.76,8.00
2022-12-31,4.93,16.37,7.60
2023-01-31,4.91,15.07,7.30
2023-02-28,4.90,15.52,7.11
2023-03-31,4.92,14.53,6.85
2023-04-30,4.93,11.23,6.80
2023-05-31,4.95,10.64,6.60
2023-06-30,4.96,10.25,6.55
2023-07-31,4.93,9.44,6.53
2023-08-31,4.94,9.43,6.43
2023-09-30,4.96,8.83,6.40
2023-10-31,4.96,8.07,6.35
2023-11-30,4.97,6.72,6.25
2023-12-31,4.97,6.61,6.25
2024-01-31,4.97,7.41,6.14
2024-02-29,4.97,7.23,6.08
2024-03-31,4.97,7.16,6.05
2024-04-30,4.97,5.90,6.05
2024-05-31,4.97,5.12,6.04
2024-06-30,4.97,4.94,6.02
2024-07-31,4.97,5.42,5.95
2024-08-31,4.97,5.10,5.80
2024-09-30,4.97,4.62,5.55
2024-10-31,4.97,4.67,5.55
2024-11-30,4.97,4.50,5.56
2024-12-31,4.98,4.60,5.60
2025-01-31,4.98,5.10,5.80
2025-02-28,4.98,5.30,5.90
2025-03-31,4.98,5.70,5.95
2025-04-30,4.99,6.20,6.00
2025-05-31,4.99,7.10,6.05
2025-06-30,4.99,7.50,6.10
2025-07-31,5.00,7.80,6.15
2025-08-31,5.00,9.90,6.20
2025-09-30,5.01,9.70,6.25
2025-10-31,5.01,9.50,6.25
2025-11-30,5.01,9.40,6.23
2025-12-31,5.02,9.30,6.23
2026-01-31,5.02,9.60,6.20
2026-02-28,5.03,9.31,6.15
2026-03-31,5.03,9.87,6.10
